name*,version*,license*,vendor/community,end-of-support,dependencies,language
antlr,2.7.7-redhat-1,BSD 3-clause,,,,java
aopalliance,1.0.0,Public Domain,,,,java
asm,3.3.1,BSD 3-clause,,,,java
axis,1.4,Apache 2.0,,,,java
axis-ant,1.4,Apache 2.0,,,,java
axis-jaxrpc,1.4,Apache 2.0,,,,java
batik-all,1.6,Apache 2.0,,,,java
batik-ext,1.6,Apache 2.0,,,,java
cglib,2.2.2,Apache 2.0,,,,java
com.ibm.icu,4.4.2.v20110823,EPL 1.0,,,,java
com.lowagie.text,2.1.7,EPL 1.0,,,,java
commons-beanutils,1.8.3,Apache 2.0,,,,java
commons-cli,1.0,Apache 2.0,,,,java
commons-codec,1.7,Apache 2.0,,,,java
commons-collections,3.2.1,Apache 2.0,,,,java
commons-dbcp,1.2.2,Apache 2.0,,,,java
commons-discovery,0.2,Apache 2.0,,,,java
commons-fileupload,1.2.2,Apache 2.0,,,,java
commons-httpclient,3.1,Apache 2.0,,,,java
commons-io,2.1,Apache 2.0,,,,java
commons-jexl,1.1,Apache 2.0,,,,java
commons-lang,2.6,Apache 2.0,,,,java
commons-lang3,3.1,Apache 2.0,,,,java
commons-logging,1.0.4,Apache 2.0,,,,java
commons-logging-api,1.0.4,Apache 2.0,,,,java
commons-pool,1.5.2,Apache 2.0,,,,java

csi-apachesoap,1.4.6,???,,,,java
csi-core,1.4.6,???,,,,java
csi-ejb,1.4.6,???,,,,java
csi-ejb-weblogic,1.4.6,???,,,,java
csi-rmi,1.4.6,???,,,,java
csi-stadapter,1.4.6,???,,,,java
csi-tools,1.4.6,???,,,,java
custom-component,1.0.1,???,,,,java
custom-component-attr,1.0.1,???,,,,java

cxf-api,2.4.6-redhat-1,Apache 2.0,,,,java
derby,10.5,Apache 2.0,,,,java
dom4j,1.6.1,BSD 4-clause,,,,java
dozer,5.3.2,Apache 2.0,,,,java
flute,1.3,W3C License,,,,java
freemarker,2.3.22,Apache 2.0,,,,java
hibernate-commons-annotations,4.0.1.Final-redhat-1,LGPL 2.1,,,,java
hibernate-core,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-entitymanager,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-jpa-2.0-api,1.0.1.Final-redhat-1,EPL 1.0,,,,java
hibernate-validator,4.2.0.Final-redhat-1,Apache 2.0,,,,java

iridev2-pep-intf,2.0.0,???,,,,java

jackson-core-asl,1.9.2-redhat-1,Apache 2.0,,,,java
jackson-mapper-asl,1.9.2-redhat-1,Apache 2.0,,,,java
javassist,3.16.1-GA,Apache 2.0+LGPL 2.1+MPL 1.1,,,,java
javax.xml.stream,1.0.1.v201004272200,EDL 1.0+EPL 1.0,,,,java
jaxrpc,1.1,Apache 2.0,,,,java
jboss-ejb-api_3.1_spec,1.0.2.Final-redhat-1,CDDL+GPL 2.0,,,,java
jboss-jsp-api_2.2_spec,1.0.1.Final-redhat-1,LGPL 2.1,,,,java
jboss-jstl-api_1.2_spec,1.0.3.Final-redhat-1,CDDL+GPL 1.0,,,,java
jboss-logging,3.1.1.GA-redhat-1,LGPL 2.1,,,,java
jboss-transaction-api_1.1_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
jboss-servlet-api_3.0_spec,1.0.1.Final-redhat-1,CDDL+GPL 2.0,,,,java
js,1.7.2,MPL 1.1,,,,java
jtype,0.1.1-redhat-1,Apache 2.0,,,,java
junit,4.11,EPL 1.0,,,,java
log4j,1.2.15,Apache 2.0,,,,java
ognl,3.0.19,Apache 2.0,,,,java
org.eclipse.birt.runtime-unsigned,4.2.2,EPL 1.0,,,,java
org.eclipse.core.contenttype,3.4.200,EPL 1.0,,,,java
org.eclipse.core.expressions,3.4.401,EPL 1.0,,,,java
org.eclipse.core.filesystem,1.3.200,EPL 1.0,,,,java
org.eclipse.core.jobs,3.5.300,EPL 1.0,,,,java
org.eclipse.core.resources,3.8.1,EPL 1.0,,,,java
org.eclipse.core.runtime,3.8.0,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.apache.derby.dbdefinition,1.0.2,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.apache.derby,1.0.103,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.console.profile,1.0.10,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.db.generic,1.0.1,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.dbdefinition.genericJDBC,1.0.1,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.consumer,3.2.5,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.design,3.3.6,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.flatfile,3.1.4,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda.profile,3.2.8,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.oda,3.3.4,EPL 1.0,,,,java
org.eclipse.datatools.connectivity.sqm.core,1.2.6,EPL 1.0,,,,java
org.eclipse.datatools.connectivity,1.2.7,EPL 1.0,,,,java
org.eclipse.datatools.enablement.hsqldb.dbdefinition,1.0.0,EPL 1.0,,,,java
org.eclipse.datatools.enablement.hsqldb,1.0.0,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.db2.luw.dbdefinition,1.0.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.db2.luw,1.0.2,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.informix.dbdefinition,1.0.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.ibm.informix,1.0.1,EPL 1.0,,,,java
org.eclipse.datatools.enablement.msft.sqlserver.dbdefinition,1.0.1,EPL 1.0,,,,java
org.eclipse.datatools.enablement.mysql.dbdefinition,1.0.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.mysql,1.0.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oda.ws,1.2.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oda.xml,1.2.4,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oracle.dbdefinition,1.0.103,EPL 1.0,,,,java
org.eclipse.datatools.enablement.oracle,1.0.0,EPL 1.0,,,,java
org.eclipse.datatools.enablement.postgresql.dbdefinition,1.0.2,EPL 1.0,,,,java
org.eclipse.datatools.enablement.postgresql,1.1.1,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.dbdefinition,1.0.2,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.derby,1.0.0,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.sql.query,1.1.4,EPL 1.0,,,,java
org.eclipse.datatools.modelbase.sql,1.0.6,EPL 1.0,,,,java
org.eclipse.emf.common,2.8.0,EPL 1.0,,,,java
org.eclipse.emf.ecore.change,2.8.0,EPL 1.0,,,,java
org.eclipse.emf.ecore.xmi,2.8.1,EPL 1.0,,,,java
org.eclipse.emf.ecore,2.8.3,EPL 1.0,,,,java
org.eclipse.emf,2.6.0,EPL 1.0,,,,java
org.eclipse.equinox.app,1.3.100,EPL 1.0,,,,java
org.eclipse.equinox.common,3.6.100,EPL 1.0,,,,java
org.eclipse.equinox.preferences,3.5.1,EPL 1.0,,,,java
org.eclipse.equinox.registry,3.5.200,EPL 1.0,,,,java
org.eclipse.osgi.services,3.3.100,EPL 1.0,,,,java
org.eclipse.osgi,3.8.2,EPL 1.0,,,,java
org.eclipse.update.configurator,3.3.200,EPL 1.0,,,,java
org.w3c.css.sac,1.3.0,EPL 1.0,,,,java
org.w3c.dom.smil,1.0.0,EPL 1.0,,,,java
org.w3c.dom.svg,1.1.0,EPL 1.0,,,,java
poi,3.7,Apache 2.0,,,,java
postgresql,9.4-1201.jdbc4,POSTGRESQL,,,,java

remincl,1.0.2,???,,,,java

saaj,1.2,CDDL,,,,java

shibboleth-shibfilter,1.0.0,???,,,,java

spring-aop,3.1.1.RELEASE,Apache 2.0,,,,java
spring-asm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-beans,3.1.1.RELEASE,Apache 2.0,,,,java
spring-context,3.1.1.RELEASE,Apache 2.0,,,,java
spring-core,3.1.1.RELEASE,Apache 2.0,,,,java
spring-data-commons-core,1.4.0.RELEASE,Apache 2.0,,,,java
spring-data-jpa,1.2.0.RELEASE,Apache 2.0,,,,java
spring-expression,3.1.1.RELEASE,Apache 2.0,,,,java
spring-jdbc,3.1.1.RELEASE,Apache 2.0,,,,java
spring-orm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-test,3.1.1.RELEASE,Apache 2.0,,,,java
spring-tx,3.1.1.RELEASE,Apache 2.0,,,,java
spring-web,3.1.1.RELEASE,Apache 2.0,,,,java
spring-webmvc,3.1.1.RELEASE,Apache 2.0,,,,java

ssobart-audit-client,1.0.0,???,,,,java
ssobart-client,2.1.1,???,,,,java
ssobart-client-pepauth,1.1.0,???,,,,java

struts2-arianna-plugin,0.5.1,Apache 2.0,,,,java
struts2-core,2.3.32,Apache 2.0,,,,java
struts2-spring-plugin,2.3.32,Apache 2.0,,,,java
Tidy,1.1,EPL 1.0,,,,java

util-beanlocatorfactory,1.0.1,???,,,,java
util-perf,1.0.1,???,,,,java
util-struts2-csitemplate,1.0.1,???,,,,java
util-struts2-csitemplate-sisp,1.0.1,???,,,,java

validation-api,1.0.0.GA-redhat-1,Apache 2.0,,,,java
viewservlets,4.2.2,EPL 1.0,,,,java
wsdl4j,1.5.1,CPL 1.0,,,,java
xercesImpl,2.9.0,Apache 2.0,,,,java
xml-apis,1.3.04,Apache 2.0,,,,java
xmlpull,1.1.3.1,Public Domain,,,,java
xml-resolver,1.2,Apache 2.0,,,,java
xpp3_min,1.1.4c,CC0 1.0+Public Domain,,,,java
xstream,1.4.2,BSD 2-clause,,,,java
xwork-core,2.3.32,Apache 2.0,,,,java


bootstrap,2.1.1,Apache 2.0,,,,javascript
bwizard,,GPL 3.0,,,,javascript
datatable,1.9.4,GPL 2.0+BSD 3-clause,,,,javascript
jquery,1.8.1,MIT,,,,javascript
prettify,,Apache 2.0,,,,javascript
